epoch,accuracy,loss,val_accuracy,val_loss
0,0.8755968809127808,0.296633243560791,0.70703125,0.7632180452346802
0,0.8700477480888367,0.3058924078941345,0.7795758843421936,0.4856468737125397
0,0.8670796155929565,0.3106233477592468,0.7723214030265808,0.5011146664619446
1,0.8732739686965942,0.30646228790283203,0.7818080186843872,0.5868845582008362
2,0.8779197335243225,0.2874230742454529,0.7717633843421936,0.5538567304611206
3,0.8748225569725037,0.29300907254219055,0.7689732313156128,0.5296612977981567
4,0.8717253804206848,0.3017776608467102,0.7857142686843872,0.5213584303855896
0,0.8675957918167114,0.30592620372772217,0.7885044813156128,0.5239660739898682
1,0.8633372187614441,0.3141373097896576,0.7717633843421936,0.5143395066261292
2,0.8774035573005676,0.2901378870010376,0.7834821343421936,0.5944419503211975
3,0.872112512588501,0.3037794530391693,0.7823660969734192,0.5706974267959595
4,0.8767582774162292,0.2986708879470825,0.7684151530265808,0.5352542400360107
5,0.8675957918167114,0.3095252811908722,0.7801339030265808,0.50794917345047
6,0.8777906894683838,0.29283788800239563,0.77734375,0.5160579085350037
7,0.8748225569725037,0.29407376050949097,0.7762276530265808,0.5629542469978333
8,0.8759840130805969,0.29093000292778015,0.7806919813156128,0.4910486340522766
9,0.8761130571365356,0.29433953762054443,0.7544642686843872,0.5739721655845642
10,0.8713382482528687,0.2972669303417206,0.7650669813156128,0.5424707531929016
11,0.8753387331962585,0.2916658818721771,0.7845982313156128,0.5961389541625977
12,0.870822012424469,0.29381227493286133,0.76171875,0.5775442123413086
13,0.878952145576477,0.2831629812717438,0.7633928656578064,0.5922899842262268
14,0.8870822191238403,0.2681516706943512,0.7650669813156128,0.6305744051933289
15,0.8794683218002319,0.2788754403591156,0.7756696343421936,0.5410224795341492
16,0.8863078951835632,0.2669423222541809,0.8058035969734192,0.5454730987548828
17,0.8901793956756592,0.263262003660202,0.7790178656578064,0.543986439704895
18,0.8882308602333069,0.2719840407371521,0.79296875,0.5507144927978516
19,0.8908246159553528,0.2667839229106903,0.7455357313156128,0.6252763867378235
20,0.8798554539680481,0.28010663390159607,0.7896205186843872,0.5238222479820251
21,0.8958575129508972,0.2561875879764557,0.7667410969734192,0.6578864455223083
22,0.8879855275154114,0.2601466178894043,0.7410714030265808,0.6106618642807007
23,0.8883727192878723,0.2662210464477539,0.7405133843421936,0.6283797025680542
24,0.8955994248390198,0.25980818271636963,0.7767857313156128,0.5509688854217529
25,0.8941798806190491,0.25874626636505127,0.77734375,0.6245837211608887
26,0.8949542045593262,0.25572702288627625,0.7784598469734192,0.5745906233787537
27,0.8977932929992676,0.25803133845329285,0.7862723469734192,0.6560415029525757
28,0.8928893804550171,0.26089486479759216,0.8002232313156128,0.5530616641044617
29,0.8846302628517151,0.2600545585155487,0.7873883843421936,0.5745967626571655
30,0.8899213075637817,0.2610571086406708,0.74609375,0.6760305166244507
31,0.8985675573348999,0.23981629312038422,0.7829241156578064,0.6069992184638977
32,0.8970189690589905,0.2520013749599457,0.7963169813156128,0.6217995882034302
33,0.8988256454467773,0.25141194462776184,0.7829241156578064,0.5495168566703796
34,0.8995999693870544,0.24651771783828735,0.7896205186843872,0.5338451266288757
35,0.8985675573348999,0.2426617294549942,0.7779017686843872,0.5274977087974548
36,0.9032133221626282,0.23970046639442444,0.7672991156578064,0.6940444707870483
37,0.8966318368911743,0.2482033520936966,0.7818080186843872,0.5947927832603455
38,0.9045038223266602,0.23059096932411194,0.7885044813156128,0.5539755821228027
39,0.9003742337226868,0.2449260801076889,0.765625,0.6396551132202148
40,0.8945670127868652,0.2545960545539856,0.7723214030265808,0.5782394409179688
41,0.9012776017189026,0.24314217269420624,0.7723214030265808,0.5465664267539978
42,0.8995999693870544,0.24744318425655365,0.7689732313156128,0.5409577488899231
43,0.9048909544944763,0.23819464445114136,0.7527901530265808,0.5755389928817749
44,0.9024389982223511,0.23961806297302246,0.7912946343421936,0.6562658548355103
